recordId,museumId,userId,pointId,arriveTime,leaveTime,staySeconds,totalSeconds ,interactionCount,interactionType,notes
A_B_202503200914_003,A,0,6-1,2025-03-20T09:14:33.100Z,2025-03-20T09:14:33.933Z,0,,0,筆記,
A_B_202503200931_015,A,0,6-1,2025-03-20T09:31:47.016Z,2025-03-20T09:31:51.465Z,4,,0,觀看影片,
A_B_202503240543_000,A,0,1-2,2025-03-24T05:43:20.804Z,2025-03-24T05:43:31.934Z,11,,0,觀看展品,燦坤
A_B_202503240545_000,A,0,1-1,2025-03-24T05:45:19.228Z,2025-03-24T05:45:30.087Z,10,,0,"觀看告示牌, 聆聽導覽",iPad
A_B_202503240545_000,A,0,1-1,2025-03-24T05:45:19.228Z,2025-03-24T05:45:30.087Z,10,,0,"觀看告示牌, 聆聽導覽",iPad
A_B_202503240545_001,A,0,2-3,2025-03-24T05:45:49.928Z,2025-03-24T05:45:53.562Z,3,,0,錄影,
A_B_202503240546_002,A,0,5-2,2025-03-24T05:45:59.963Z,2025-03-24T05:46:04.131Z,4,,0,拍照,
A_B_202503251253_000,A,0,2-3,2025-03-25T12:53:48.863Z,2025-03-25T12:53:52.007Z,3,,0,"觀看展品, 觀看影片",
A_B_202503251405_000,A,0,1-1,2025-03-25T14:05:21.338Z,2025-03-25T14:05:23.077Z,1,,0,觀看告示牌,
A_B_202503251405_001,A,0,2-2,2025-03-25T14:05:24.507Z,2025-03-25T14:05:27.179Z,2,,0,觀看模型,
A_B_202503251405_002,A,0,2-3,2025-03-25T14:05:28.227Z,2025-03-25T14:05:30.417Z,2,,0,觀看影片,
A_B_202503251405_003,A,0,3-1,2025-03-25T14:05:33.399Z,2025-03-25T14:05:36.017Z,2,,0,觀看模型,
A_B_202503251405_004,A,0,3-2,2025-03-25T14:05:38.459Z,2025-03-25T14:05:40.051Z,1,,0,觀看展品,
A_B_202503251405_005,A,0,4-1,2025-03-25T14:05:40.957Z,2025-03-25T14:05:42.591Z,1,,0,觀看告示牌,
A_B_202503251405_006,A,0,3-3,2025-03-25T14:05:43.693Z,2025-03-25T14:05:45.537Z,1,,0,觀看告示牌,
A_B_202503260814_000,A,0,1-1,2025-03-26T08:14:08.278Z,2025-03-26T08:14:10.273Z,1,,0,聆聽導覽,
A_B_202503260814_001,A,0,1-2,2025-03-26T08:14:12.230Z,2025-03-26T08:14:13.790Z,1,,0,觀看展品,
A_B_202503260820_002,A,0,1-1,2025-03-26T08:20:05.937Z,2025-03-26T08:20:07.841Z,1,,0,聆聽導覽,
A_B_202503260820_003,A,0,2-3,2025-03-26T08:20:09.080Z,2025-03-26T08:20:10.553Z,1,,0,觀看展品,
A_B_202503261402_004,A,0,5-2,2025-03-26T14:02:17.107Z,2025-03-26T14:02:20.031Z,2,,0,"觀看影片, 聆聽音樂",
A_B_202503261402_006,A,0,1-2,2025-03-26T14:02:51.734Z,2025-03-26T14:02:53.603Z,1,,0,觀看告示牌,
A_B_202503261403_007,A,0,1-2,2025-03-26T14:03:04.141Z,2025-03-26T14:03:07.689Z,3,,0,觀看展品,
A_B_202503261403_008,A,0,1-3,2025-03-26T14:03:22.341Z,2025-03-26T14:03:24.877Z,2,,0,觀看展品,
A_B_202503261414_000,A,0,2-3,2025-03-26T14:14:21.509Z,2025-03-26T14:14:24.444Z,2,,0,"觀看影片, 聆聽音樂",
A_B_202503261414_000,A,0,2-3,2025-03-26T14:14:21.509Z,2025-03-26T14:14:24.444Z,2,,0,"觀看影片, 聆聽音樂",
A_B_202503280406_001,A,0,1-2,2025-03-28T04:06:38.146Z,2025-03-28T04:06:42.440Z,4,,0,"觀看告示牌, 聆聽導覽",
A_B_202503280406_002,A,0,2-1,2025-03-28T04:06:44.670Z,2025-03-28T04:06:47.228Z,2,,0,觀看告示牌,
A_B_202503280406_003,A,0,1-1,2025-03-28T04:06:53.349Z,2025-03-28T04:06:56.788Z,3,,0,觀看告示牌,
A_B_202503280407_004,A,0,4-1,2025-03-28T04:07:09.432Z,2025-03-28T04:07:11.600Z,2,,0,觀看告示牌,
A_B_202503280408_000,A,0,1-2,2025-03-28T04:08:32.934Z,2025-03-28T04:08:34.978Z,2,,0,觀看展品,
A_B_202503280408_001,A,0,1-3,2025-03-28T04:08:36.516Z,2025-03-28T04:08:38.534Z,2,,0,觀看告示牌,
A_B_202503280408_002,A,0,2-1,2025-03-28T04:08:39.982Z,2025-03-28T04:08:42.698Z,2,,0,觀看告示牌,
A_B_202503280457_000,A,0,1-2,2025-03-28T04:57:49.980Z,2025-03-28T04:57:52.706Z,2,,0,觀看展品,
A_B_202503280458_001,A,0,1-3,2025-03-28T04:58:51.072Z,2025-03-28T04:58:53.294Z,2,,0,觀看展品,
A_B_202503280458_002,A,0,2-1,2025-03-28T04:58:54.990Z,2025-03-28T04:58:57.356Z,2,,0,觀看告示牌,
A_B_202503280459_003,A,0,1-2,2025-03-28T04:59:00.982Z,2025-03-28T04:59:02.724Z,1,,0,觀看告示牌,
A_B_202503280459_004,A,0,1-1,2025-03-28T04:59:06.610Z,2025-03-28T04:59:08.906Z,2,,0,觀看告示牌,
A_B_202503280459_005,A,0,1-2,2025-03-28T04:59:17.280Z,2025-03-28T04:59:19.780Z,2,,0,觀看告示牌,
A_B_202503280459_006,A,0,3-1,2025-03-28T04:59:34.086Z,2025-03-28T04:59:36.334Z,2,,0,觀看告示牌,
A_B_202503280459_007,A,0,3-1,2025-03-28T04:59:45.564Z,2025-03-28T04:59:47.618Z,2,,0,觀看展品,
A_B_202503280500_008,A,0,1-2,2025-03-28T05:00:42.824Z,2025-03-28T05:00:45.368Z,2,,0,觀看告示牌,
A_B_202503280500_009,A,0,1-3,2025-03-28T05:00:47.560Z,2025-03-28T05:00:49.844Z,2,,0,觀看告示牌,
A_B_202503280500_010,A,0,3-3,2025-03-28T05:00:53.910Z,2025-03-28T05:00:55.876Z,1,,0,觀看告示牌,
A_B_202503280501_011,A,0,6-3,2025-03-28T05:01:06.398Z,2025-03-28T05:01:08.224Z,1,,0,觀看告示牌,
A_B_202503280501_012,A,0,6-2,2025-03-28T05:01:18.317Z,2025-03-28T05:01:20.836Z,2,,0,觀看告示牌,
A_B_202503280503_000,A,0,3-2,2025-03-28T05:03:36.902Z,2025-03-28T05:03:38.922Z,2,,0,觀看模型,
A_B_202503280515_000,A,0,1-2,2025-03-28T05:15:16.073Z,2025-03-28T05:15:18.032Z,1,,0,觀看告示牌,
A_B_202503280515_001,A,0,1-1,2025-03-28T05:15:20.465Z,2025-03-28T05:15:22.909Z,2,,0,觀看影片,
A_B_202503280515_002,A,0,2-1,2025-03-28T05:15:25.307Z,2025-03-28T05:15:28.593Z,3,,0,觀看展品,
